stop_id,stop_name,buses_day,buses_am_peak,buses_pm_peak,routes_served,metro_dist_m,near_metro,mall_frontage,is_surveyed,affected
644002,Emirates Printing Press 2,234,40,38,3,3389.0,False,False,False,False
101005,Stadium Bus Station 5,187,40,36,1,171.0,True,False,False,False
632002,Majid Industries 2,234,40,37,3,3284.0,False,False,False,False
337502,Al Ghurair University 3-2,190,40,38,3,12278.0,False,False,False,False
107102,"Sharjah, King Faisal Road, Jumbo-Sony 2",213,40,39,4,3275.0,False,False,False,False
630002,Emirates Gas Factory 2,246,40,35,3,945.0,False,False,False,False
643002,ETA Steel Works 2,234,39,38,3,3242.0,False,False,False,False
640002,Bartawi Camps 2,234,39,37,3,2803.0,False,False,False,False
422502,"Sharjah, King Faisal Road, Adnoc Petrol Station 2",213,39,39,4,3124.0,False,False,False,False
103102,"Sharjah, Al Wahda Rd, Subway 1-2",213,39,38,4,2949.0,False,False,False,False
639002,Rostamani Steel Mills 2,234,39,37,3,2686.0,False,False,False,False
999002,Joton Paints 2,234,39,37,3,2353.0,False,False,False,False
470002,"Wasl, Wasl Club 2",189,39,36,5,1725.0,False,False,False,False
888802,Dubai Mall Bus Stop 2,140,39,38,2,1248.0,False,True,False,False
978001,"Al Quoz, Emirates Housing Al Khail Gate 2",234,39,36,3,3384.0,False,False,False,False
525101,"Al Quoz, Gargash Construction Accommodation 2",234,39,38,3,3412.0,False,False,False,False
189001,Flame Intersection 1,275,39,38,6,437.0,False,False,False,False
878002,Emirates Driving Institute 2,226,39,41,4,543.0,False,False,False,False
335502,Emirates Aviation University 2,190,39,37,3,12242.0,False,False,False,False
637002,Emirates Industries 2,234,39,37,3,3243.0,False,False,False,False
879002,Ministry Of Human Resources & Emiratisation 2,226,39,40,4,1140.0,False,False,False,False
638002,"Khaleej, Metal Coating 2",234,39,37,3,3144.0,False,False,False,False
104102,"Sharjah, Al Wahda Rd, Al Wahda Center 2-2",213,38,38,4,3136.0,False,True,False,False
102102,"Sharjah, Al Wahda Road, City Center 2",213,38,39,4,3293.0,False,True,False,False
299501,"Dubai Outsource City, Arab Company 1",198,38,39,4,11963.0,False,False,False,False
163501,Lulu Village 1,231,38,40,3,2969.0,False,False,False,False
866002,"Muhaisnah 1, Intersection 2",241,38,42,5,1153.0,False,False,False,False
875001,Tunis Road 1,241,38,42,5,1393.0,False,False,False,False
730501,The Gardens Metro Bus Stop 1,211,38,39,3,46.0,True,False,False,False
101009,Stadium Bus Station 9,147,38,56,1,206.0,False,False,False,False
161001,"Hor Al Anz, Turnoff 1",217,38,35,5,1030.0,False,False,False,False
285501,Al Ghurair University Road,190,38,38,3,12155.0,False,False,False,False
522101,Volante Dubai Tower 1,155,38,35,3,172.0,True,False,False,False
150502,"International City, Greece 2",234,37,44,6,8328.0,False,False,False,False
156501,Beirut Road 1,214,37,38,5,1200.0,False,False,False,False
504001,"Satwa, Square 1",224,37,36,5,1199.0,False,False,False,False
505001,Bada'a,206,37,35,4,1207.0,False,False,False,False
130101,Dubai Internet City Metro Bus Stop Landside 1,202,37,36,3,256.0,False,False,False,False
216001,"Wuhaida, Road 1",216,37,34,5,657.0,False,False,False,False
255502,"International City, Civil Defence2",234,37,43,6,7926.0,False,False,False,False
162501,"International City, Post office 2",234,37,41,6,6693.0,False,False,False,False
435002,Karama 2-2,200,37,33,5,315.0,False,False,False,False
393001,Silicon Oasis High Bay 1,200,37,36,4,9300.0,False,False,False,False
433002,Karama 1-2,200,37,33,5,492.0,False,False,False,False
607101,Burj View central Tower 1,162,37,34,3,571.0,False,False,False,False
